Task ID,Task Name,Employee Type,Production Time (hours),Task Dependencies,Priority Level,Due Date
1,Design Product Prototype,Engineer,40,,3,10
2,Market Research,Marketing,20,,2,15
3,Create Project Plan,Manager,10,,3,5
4,Develop Product Concept,Developer,30,3,2,20
5,Prototype Testing,Engineer,15,1,3,12
6,Design Marketing Strategy,Marketing,25,2,2,18
7,Quality Assurance,Developer,20,4,3,22
8,Production Scheduling,Manager,35,3,2,28
9,Resource Allocation,Manager,15,3,1,25
10,Code Implementation,Developer,40,4,3,32
11,User Interface Design,Engineer,20,5,1,30
12,Market Analysis,Marketing,30,2,2,35
13,Documentation,Developer,10,7,3,40
14,Product Testing,Engineer,25,5,3,48
15,Project Reporting,Manager,20,8,1,45
16,Marketing Campaign,Marketing,35,6,3,55
17,Final Product Launch,Engineer,30,11,2,60
18,Code Review,Developer,15,10,1,58
19,Resource Optimization,Manager,40,9,3,70
20,Stakeholder Meeting,Manager,10,8,1,68
21,User Feedback Analysis,Engineer,20,16,2,75
22,Product Presentation,Marketing,25,16,3,80
23,Market Survey,Marketing,20,12,1,78
24,Post-launch Evaluation,Manager,30,15,3,90
25,Software Testing,Developer,15,14,1,88
26,User Training,Engineer,35,17,2,95
27,Feedback Integration,Developer,25,18,3,100
28,Market Trend Analysis,Marketing,10,23,1,98
29,Product Updates,Developer,30,17,3,110
30,Project Documentation,Manager,20,24,1,105
31,Marketing Strategy Adjustment,Marketing,15,22,3,115
32,Production Scaling,Engineer,40,17,3,125
33,Code Optimization,Developer,25,18,2,120
34,Stakeholder Feedback,Manager,20,20,1,118
35,Product Maintenance,Manager,30,26,2,130
36,Product Performance Analysis,Engineer,10,17,1,128
37,Marketing ROI Analysis,Marketing,35,22,3,140
38,Quality Control,Developer,15,23,1,135
39,Task Scheduling,Manager,40,27,2,150
40,Project Conclusion,Manager,25,39,3,160
